INPUT,MOLECULAR_FORMULA,AVERAGE_MASS,DENSITY_G/CM^3_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID7024586,C7H5NS,135.18,1.264,0.0316957,0.0119674,8.45454,9.62728E-06,5.07535,534.463,2.01051,0.0160683,0.031616
DTXSID8057930,C18H15Cl2F2N3O,398.23,1.491,1.88799E-10,4.15911E-06,7.43772,7.24933E-11,10.5138,1436.77,3.65987,2.32579E-09,8.83757E-05
DTXSID6024591,C14H10O4,242.23,1.229,0.000100231,0.000263027,4.47503,2.95778E-08,8.41435,233.241,3.45755,9.96552E-06,3.78805E-05
DTXSID7040281,C18H17Cl2NO3,366.24,1.343,6.71429E-07,1.99526E-05,3.35632,7.57075E-09,11.7536,1473.5,3.64585,1.11978E-06,5.46009E-05
DTXSID8041662,C9H9N3OS,207.25,1.4,5.37032E-08,0.000118304,3.08552,1.36926E-09,9.07712,248.565,1.52163,1.61462E-08,5.84132E-05
DTXSID0020151,C9H10O2,150.177,1.05,0.0776247,0.0154882,4.48246,3.97254E-07,4.83138,72.6146,1.96276,0.174472,0.0204983
DTXSID5020152,C7H8O,108.14,1.04,0.223872,0.467735,6.59692,3.45874E-07,4.97127,12.6442,1.10165,0.0947063,0.389972
DTXSID8029153,C14H12O2,212.248,1.14,0.000831764,0.000363078,5.35947,3.30053E-08,7.45574,122.195,3.96773,0.000224616,7.24757E-05
DTXSID4040343,C9H9BrO2,229.073,1.492,0.0053827,0.00340408,4.47511,2.41332E-07,5.8331,81.4881,2.49056,0.00735519,0.00194502
DTXSID3020205,C19H20O4,312.365,1.134,4.32514E-06,1.85353E-05,3.35445,2.90513E-08,9.8261,5236.5,4.81594,8.18347E-06,5.55581E-06
DTXSID3041663,C16H14O2,238.286,1.106,0.000069024,0.000400867,3.72639,1.82693E-08,8.20818,195.979,3.62187,1.00438E-05,3.34185E-05
DTXSID1024598,C14H12O3,228.247,1.226,2.37137E-05,0.000404576,3.55813,2.76273E-10,9.26321,116.435,3.10622,6.42419E-07,0.000331304
DTXSID7041207,C18H34NNaO4,351.463,1.02,2.03704E-09,0.00069024,5.79429,1.67174E-08,9.26858,3300.77,1.51401,3.38127E-08,0.00315721
DTXSID8032330,C22H18Cl2FNO3,434.29,1.344,6.09537E-10,4.40555E-08,3.35162,4.45421E-09,11.705,99888.1,5.95213,1.52186E-10,6.74411E-09
DTXSID6052871,C22H19Cl2NO3,416.3,1.292,1.1246E-09,6.26614E-08,3.35135,2.07474E-09,11.7027,99845.4,6.59788,3.06772E-09,3.57651E-08
DTXSID7027049,C10H16,136.238,0.871,7.09578,0.000127644,24.2705,0.0610123,4.47666,2663.8,4.16124,2.89732,2.71895E-05
DTXSID5058064,C19H20F3NO5,399.366,1.485,7.8343E-09,4.53942E-05,4.46726,4.01561E-09,10.2605,40.3223,1.82624,1.42752E-08,0.000801623
DTXSID5032525,C17H20N2O3,300.358,1.188,5.29663E-08,2.63633E-05,3.53994,7.13473E-10,9.23541,1746.67,3.16535,7.43676E-08,9.33241E-06
DTXSID1040320,C14H9Cl2NO5,342.13,1.499,1.05682E-07,1.22744E-06,3.53895,7.25478E-09,9.62901,9944.97,4.47854,1.00231E-07,7.397E-07
DTXSID9020160,C23H22ClF3O2,422.87,1.262,1.20781E-07,4.97737E-08,3.54377,4.85349E-08,10.4688,223091,6.18611,1.79489E-07,5.06325E-08
DTXSID9040269,C15H18N2O6,322.317,1.292,6.13762E-07,0.000011298,3.53688,2.08174E-08,8.52583,5343.13,4.19612,3.18985E-07,3.12863E-06
DTXSID2034382,C22H26O3,338.447,1.109,4.16869E-08,2.70396E-07,3.34955,3.25272E-08,10.1921,99728,6.13979,1.13555E-08,2.25867E-07
DTXSID7022679,C10H16N2O3S,244.31,1.3,5.14044E-09,0.0072277,4.11633,1.00592E-09,9.22248,88.9387,1.44715,2.591E-09,0.000918048
DTXSID4020161,C12H10,154.212,0.997,0.00864968,0.000044978,30.8193,0.000307534,6.1403,1868.86,4.0099,0.00894776,4.57866E-05
DTXSID0036479,C30H56N2O4,508.788,0.897,4.66659E-08,6.23735E-06,13.4512,2.59204E-07,11.6846,101050,6.06976,4.43663E-07,1.16453E-06
DTXSID0028030,C28H52N2O4,480.734,0.903,2.44906E-08,2.43781E-06,14.49,1.40721E-10,9.55951,46447.1,5.9402,5.567E-08,1.70207E-06
DTXSID5042035,C16H34O,242.447,0.771,0.0018239,6.91831E-06,4.76234,0.000430342,7.4562,4747.12,6.60171,0.00574008,6.2591E-07
DTXSID3026697,C25H48O4,412.655,0.873,6.42688E-07,2.40436E-07,5.6984,1.27413E-07,11.7554,10162.2,8.99285,5.41766E-07,4.73182E-05
DTXSID0020606,C22H42O4,370.574,0.89,2.63027E-06,1.20226E-06,5.69219,4.33746E-07,10.8342,15479.1,6.85125,8.51809E-07,2.10993E-06
DTXSID5052173,C28H46O4,446.672,0.929,7.04693E-08,1.92752E-07,15.0116,1.55019E-07,11.6873,18987.8,8.85532,5.22072E-07,2.10979E-08
DTXSID7020182,C15H16O2,228.291,1.195,2.59418E-06,0.00124451,15.145,1.25155E-07,8.38031,1436.23,3.32044,6.77917E-08,0.000745153
DTXSID6024624,C21H24O4,340.419,1.167,1.65959E-06,3.06196E-05,5.74835,4.18483E-06,10.4713,10465.7,3.36437,8.50603E-07,3.29775E-06
DTXSID0043977,C19H18N4O8,430.373,1.474,5.79429E-12,5.61048E-06,4.22752,4.12419E-10,10.2655,865.013,3.02995,1.38303E-10,0.140504
DTXSID7034383,C19H17N4NaO8,452.355,1.474,5.79429E-12,5.61048E-06,4.22752,4.12419E-10,10.2655,865.013,-1.02702,1.38303E-10,0.140504
DTXSID2037502,C20H23N3O2,337.423,1.198,5.19996E-09,3.34195E-05,3.36207,3.17919E-07,10.6505,796.755,4.15899,2.1755E-08,1.29149E-05
DTXSID6058134,C18H12Cl2F3N3O,414.21,1.491,6.93426E-10,8.47227E-07,3.5423,2.92434E-10,10.7478,549.023,4.39661,4.26507E-09,1.17155E-06
DTXSID7041675,C12H20O2,196.29,0.959,0.0739605,0.0022751,4.49535,0.00051587,5.87223,400.344,4.29922,0.226286,0.000190496
DTXSID6034392,C18H12Cl2N2O,343.21,1.396,1.03514E-08,5.5335E-06,5.99313,2.67358E-09,10.3441,1557.27,2.96055,1.17391E-09,1.05569E-05
DTXSID0039699,C28H48O6,480.686,1.157,9.1622E-13,2.05589E-05,164.231,2.09459E-11,9.45338,137844,2.10133,6.89186E-10,0.000113357
DTXSID1048700,C27H34N2O4S,482.64,1.011,2.95121E-08,2.49459E-06,3.64392,2.94448E-06,11.6924,15349.4,0.579237,2.06628E-08,1.62686E-05
DTXSID5032529,C31H23BrO3,523.426,1.469,1.88365E-14,3.06196E-07,197.787,3.95472E-09,11.6753,93073,8.49753,6.27171E-11,7.29223E-09
DTXSID4022020,C9H13BrN2O2,261.119,1.736,4.01791E-07,0.00179473,4.88671,1.34227E-06,8.41175,39.8863,2.10931,3.09359E-07,0.00308373
DTXSID9032589,C30H23BrO4,527.414,1.526,5.74116E-13,6.65273E-07,73.1109,6.79327E-12,10.1692,240752,6.52691,1.19783E-10,3.45727E-05
DTXSID8032590,C14H7Br3F3N3O4,577.934,2.197,7.14496E-08,1.83654E-07,6.72183,9.83712E-07,10.2681,26612,4.32342,9.69853E-08,3.4982E-09
DTXSID6041680,C8H5BrCl6,393.73,1.974,0.000088308,1.42561E-05,104.47,8.50263E-05,8.99173,475549,5.90053,0.0001443,4.75678E-07
DTXSID1041683,C8H8BrCl2O3PS,365.99,1.675,3.84592E-05,1.70608E-06,5.68185,7.44031E-06,9.59832,3424.6,5.21004,0.000126979,2.78618E-06
DTXSID6041682,C19H10Br4O5S,669.96,2.571,1.99986E-11,6.65273E-07,66.4406,1.6847E-09,9.59189,34672.5,4.77979,5.69242E-09,0.00486585
DTXSID6041684,C10H12BrCl2O3PS,394.04,1.593,2.51189E-05,7.94328E-07,8.73249,5.10864E-06,10.8247,2165.5,6.14652,3.79311E-05,1.12219E-06
DTXSID1034397,C17H16Br2O3,428.12,1.855,1.42561E-07,1.03276E-05,4.93106,4.85753E-10,10.8815,1570.45,5.39945,8.2194E-08,1.66685E-06
DTXSID3058799,C27H28Br2O5S,624.38,2.111,4.40555E-11,5.22396E-07,146.193,1.86021E-10,9.66311,36856.1,4.65024,1.85833E-09,1.94806E-06
DTXSID3022162,C7H3Br2NO,276.915,1.927,0.000264241,0.000237684,4.88254,2.31684E-07,8.48481,469.167,2.62501,4.81823E-08,0.000430874
DTXSID8032592,C14H15Br2NO2,389.087,1.787,2.16272E-07,2.71019E-06,3.53484,8.61609E-09,9.6439,3933.81,4.60508,3.22147E-06,2.05843E-07
DTXSID7023932,C15H17Br2NO2,403.114,1.767,1.01391E-07,1.90108E-06,3.53991,9.24699E-09,9.73319,9968.69,5.39761,4.77266E-06,1.44949E-07
DTXSID9032531,C13H12BrCl2N3O,377.06,1.595,8.51138E-08,0.000135831,3.17898,1.01393E-05,9.85377,399.638,3.24033,3.02815E-08,0.000131926
DTXSID8024652,C3H6BrNO4,199.988,1.698,0.000807235,1.03039,4.84982,2.6965E-07,7.58542,10.3771,-0.413783,1.25818E-05,1.25417
DTXSID1041687,C16H15Cl2NO2,324.2,1.302,3.2434E-07,3.04089E-06,4.77151,1.45226E-05,9.59017,15968.7,4.35063,3.97073E-07,3.31564E-06
DTXSID9036438,C17H18ClN3O,315.8,1.304,1.45211E-09,4.2462E-06,5.76211,9.67385E-09,10.9949,1443.01,3.75039,1.24012E-07,7.19888E-06
DTXSID6041688,C13H24N4O3S,316.42,1.296,3.12608E-07,0.000659174,3.65196,3.07524E-10,10.6659,298.805,2.7003,7.47994E-07,6.12047E-05
DTXSID8034401,C16H23N3OS,305.44,1.177,3.80189E-07,5.01187E-05,6.89035,1.27655E-07,10.6306,1447.32,4.29853,9.35577E-06,2.1137E-06
DTXSID3034402,C17H26ClNO2,311.85,1.088,1.41579E-06,0.000252348,4.92521,4.8868E-08,10.8342,724.3,4.49699,2.88382E-06,6.74755E-05
DTXSID5041691,C15H23NO,233.355,0.931,2.33346E-05,0.000464515,5.44902,2.82249E-08,8.08881,239.443,3.00082,0.0006703,0.00337684
DTXSID5058068,C13H21N2O4PS,332.35,1.219,4.57088E-07,2.82488E-05,3.54549,2.5891E-09,11.4668,553.006,4.61637,0.000625749,1.80427E-05
DTXSID9027601,C34H30Cl2N6O4,657.55,1.353,4.68813E-18,3.0903E-10,23.0025,1.12682E-08,9.7517,105091,4.34992,1.06216E-09,2.02907E-07
DTXSID7024665,C4H10,58.124,0.856,1213.39,0.0053827,7.39001,0.471425,1.61014,22.8012,2.88914,1809.85,0.00108058
DTXSID6023602,C4H6O4,118.088,1.39,2.98538E-05,0.72277,5.96871,8.84113E-09,7.21213,19.4164,-0.589688,1.94964E-07,0.9167
DTXSID8021515,C4H8O2,88.106,1.03,0.331131,0.562341,4.27463,5.3657E-07,4.23463,14.5565,0.790824,1.6335,0.667063
DTXSID5058062,C7H14N2O2S,190.26,1.098,0.000147231,0.0805378,3.53564,2.2858E-08,7.71437,38.0194,1.09784,7.92964E-05,0.182291
DTXSID0041698,C7H14N2O4S,222.26,1.23,4.65586E-05,0.091622,4.87888,5.17932E-10,7.74497,5.82344,-0.114934,2.05805E-06,0.924897
DTXSID3032337,C14H21N3O4,295.339,1.234,8.91251E-07,9.7051E-06,3.55332,7.99842E-07,10.3103,9539.45,4.92938,1.27506E-05,2.28793E-06
DTXSID4042335,C7H14O3,146.186,0.991,0.217771,0.100231,4.64165,2.44103E-07,4.94517,17.7316,1.67196,0.399954,0.273588
DTXSID3021982,C6H12O2,116.16,0.9,10.4713,0.0549541,4.44472,0.000282464,3.60681,33.2139,1.77995,11.6321,0.0642365
DTXSID6024676,C7H12O2,128.171,0.914,3.21366,0.091622,4.62818,0.000382639,3.48966,43.4684,2.35954,5.42923,0.0155651
DTXSID7041702,C8H16O2,144.214,0.891,2.05116,0.00490908,4.44321,0.000473351,4.58254,109.994,2.5988,1.82366,0.0035827
DTXSID3033276,C9H20O3,176.256,0.943,0.0381944,0.588844,3.81531,4.92248E-09,7.39208,45.589,1.31339,0.109557,0.849127
DTXSID7042196,C7H14O3,146.186,0.996,0.217771,0.146555,4.64165,2.44103E-07,4.94517,17.7316,1.67196,0.399954,0.273588
DTXSID4024696,C8H14O2,142.198,0.925,3.76704,0.0151356,4.64034,0.000192403,4.13212,70.2421,2.8773,2.12457,0.00568365
DTXSID7023936,C11H23NOS,217.37,0.936,0.00648634,0.000431519,11.4793,1.29486E-05,7.43743,129.18,4.14868,0.0130344,0.000209019
DTXSID2020216,C15H24O,220.356,0.905,0.00261818,5.26017E-05,14.7955,8.00138E-06,9.28587,4489.84,5.09929,0.00514942,2.75616E-06
DTXSID3020209,C11H14O3,194.23,1.116,0.00195434,0.000822243,3.50929,3.39978E-10,8.64097,68.0358,3.56488,2.92942E-06,0.00116921
DTXSID10189971,C11H13NaO3,216.212,1.14,0.00195434,0.00109144,3.50929,3.39978E-10,8.64097,68.0358,-1.02258,2.92942E-06,0.00116921
DTXSID0041723,C23H26ClN3,379.93,1.06,2.59418E-08,3.95367E-06,4.46061,6.45747E-08,11.6888,2711.19,1.84856,4.96345E-08,1.29041E-05
DTXSID9041732,C17H13ClN6O5,416.78,1.551,4.53942E-15,1.01859E-07,4.58097,1.29256E-11,9.41737,65.3697,3.24746,6.39899E-10,6.82416E-06
DTXSID6029258,C16H10N4O5,338.279,1.512,6.09537E-12,2.41546E-07,10.0673,6.43367E-08,11.0931,1056.09,3.4885,3.93027E-12,3.07494E-05
DTXSID2052655,C22H16N2O2,340.382,1.302,5.24807E-14,6.38263E-08,89.0631,2.94935E-10,9.66457,357750,4.11568,2.63492E-09,2.45365E-06
DTXSID7029243,C26H22N4O4,454.486,1.376,1.66725E-13,3.66438E-08,55.046,1.85931E-10,9.46728,141515,5.26217,9.29753E-10,3.53157E-05
DTXSID4041733,C34H28ClN5O7,654.08,1.498,1.74181E-17,7.11214E-09,85.9929,1.20147E-11,9.552,139688,2.87444,1.70837E-08,5.84596E-08
DTXSID3021227,C24H17N5O7,487.428,1.547,1.3122E-14,5.7544E-09,21.673,4.6584E-10,9.65975,235721,3.54408,1.22557E-09,6.69404E-07
DTXSID8021226,C17H13N3O3,307.309,1.33,5.95662E-11,1.46893E-07,6.72272,1.88479E-09,10.6138,867.992,3.57938,1.10656E-09,2.70618E-05
DTXSID0050394,C30H31ClN4O7S,627.11,1.453,3.55631E-15,3.66438E-08,11.5926,2.81221E-09,9.72896,145649,5.83292,3.67993E-11,3.09343E-08
DTXSID4041735,C17H16N4O4,340.339,1.299,2.05589E-11,2.07491E-06,3.53975,4.097E-10,10.6244,2213.61,3.17993,1.37184E-10,4.56621E-06
DTXSID9052137,C23H8Cl8N4O2,655.94,1.898,9.81748E-11,2.09411E-08,69.8046,2.58134E-12,9.74013,103071,5.49895,4.29136E-11,4.24905E-07
DTXSID2067539,C26H6Cl8N2O4,693.94,2.039,4.33511E-15,3.99945E-08,144.07,6.05914E-08,11.6729,78739.1,5.4952,2.19954E-09,1.44494E-07
DTXSID6021452,C34H28Cl4N6O4,726.44,1.458,1.26183E-18,5.00035E-11,55.008,1.1414E-08,9.79425,102779,4.23889,1.57867E-08,4.08829E-08
DTXSID6051691,C17H15ClN4O5,390.78,1.404,4.50817E-12,1.19399E-06,3.53721,5.67691E-10,10.431,654.695,3.53322,2.84444E-11,2.44265E-06
DTXSID7025920,C18H18N4O6,386.364,1.381,3.1989E-12,1.1324E-06,3.54624,7.31975E-10,10.4296,861.498,3.74562,4.52384E-10,3.74437E-06
DTXSID9041736,C26H27ClN4O8S,591.03,1.43,2.63633E-14,1.51008E-07,8.69045,3.42022E-10,9.71488,252804,4.0616,1.00171E-09,3.46917E-05
DTXSID3051593,C32H30N2O2,474.604,1.202,2.29615E-15,6.15177E-08,196.752,2.50389E-09,9.73802,119653,6.58647,4.18621E-11,2.37941E-07
DTXSID5040706,C18H16N2O,276.339,1.138,1.51705E-09,3.17687E-07,13.008,4.28884E-07,10.6561,6274.88,4.44243,9.74579E-10,1.3387E-06
DTXSID6041260,C18H6Cl4N2O,408.06,1.683,6.30957E-13,3.2434E-07,107.852,1.02675E-07,11.7,68654.2,3.6035,5.4891E-11,9.9824E-06
DTXSID3041740,C17H15NO2,265.312,1.234,5.37032E-10,7.01455E-07,20.3976,1.01663E-09,11.0452,1332.22,3.15671,3.65528E-09,1.39951E-05
DTXSID8041741,C17H14N2O,262.312,1.151,1.76604E-09,8.16582E-07,16.3759,3.60076E-08,10.6083,5694.27,3.91088,1.91313E-09,3.98298E-06
DTXSID3041742,C22H16N4O,352.397,1.189,3.37287E-12,1.02329E-08,36.9098,2.14518E-07,10.6024,14859.8,4.54388,4.88276E-09,1.07325E-06
DTXSID5050395,C25H22N4O,394.478,1.151,5.54626E-13,1.96336E-09,40.0159,2.35158E-07,10.3851,68280.9,5.31329,3.27648E-08,7.06556E-07
DTXSID4021135,C16H12N2O,248.285,1.172,3.85478E-09,1.62555E-06,22.5502,6.97374E-07,10.0251,3802.69,3.8656,1.82625E-09,2.77061E-06
DTXSID8041745,C16H19N3,253.349,0.996,3.01301E-08,1.11429E-06,4.2806,5.1327E-06,8.34256,3107.26,3.67201,8.50119E-08,0.000076283
DTXSID6052320,C23H29ClN2,368.95,1.018,4.08319E-07,1.89234E-06,3.63731,1.8781E-07,10.4502,3704.28,1.24331,2.17652E-07,2.33101E-05
DTXSID2051974,C30H42N2O2,462.678,1.106,3.84592E-14,1.30317E-07,44.2071,2.26423E-08,9.68779,145605,7.17795,2.41828E-09,0.000033652
DTXSID5052383,C44H58N4O2,674.974,1.076,3.36512E-16,4.27563E-11,94.3357,2.76992E-08,9.75049,97419.1,9.57475,3.8232E-11,9.97801E-07
DTXSID7037505,C10H23O2PS2,270.39,1.086,0.000174582,0.00279254,141.323,9.43647E-06,8.52732,396.293,3.9012,0.00089695,0.000918952
DTXSID7057949,C16H22N4O3S,350.44,1.287,5.09331E-08,5.34564E-05,4.94289,7.56736E-09,10.4497,296.13,3.20844,2.25807E-11,7.18532E-06
DTXSID0020232,C8H10N4O2,194.194,1.401,2.40991E-06,0.054325,3.8183,1.55451E-06,8.51986,62.3044,-0.0709947,2.06086E-06,0.111749
DTXSID4026399,C2Ca,64.1,0.726,19408.9,0.111944,9.89637,0.00269829,0.437106,3.26837,-1.6801,36132.4,0.295887
DTXSID2036409,C10H12CaN2Na2O8,374.27,1.596,1.55597E-09,0.402717,4.96007,2.27935E-11,9.37979,37.8169,-1.51078,1.50547E-12,0.00342189
DTXSID8026488,C10H16,136.238,0.875,5.39511,0.000100693,4.73389,0.0602424,4.47666,2663.67,4.21778,2.5268,3.28699E-05
DTXSID5030955,C10H16O,152.237,0.963,0.214289,0.0111944,5.39513,0.000079075,4.84625,1852.03,2.38432,0.650118,0.00572767
DTXSID9020241,C18H27NO3,305.418,1.051,4.76431E-08,0.00130918,3.34798,9.9078E-10,9.30531,764.258,3.34895,4.22489E-10,3.39496E-05
DTXSID4020242,C10H9Cl4NO2S,349.05,1.665,1.02094E-07,7.65597E-06,9.38767,4.19753E-06,10.2605,2087.28,3.79851,2.6016E-06,4.0854E-06
DTXSID9020243,C9H8Cl3NO2S,300.58,1.636,4.69894E-07,1.84927E-05,8.55954,3.70516E-06,8.83475,200.214,2.79923,9.05763E-08,1.72503E-05
DTXSID9020247,C12H11NO2,201.225,1.131,5.62341E-06,0.000414954,3.53203,1.38246E-08,9.12776,250.472,2.35802,1.3637E-06,0.00031257
DTXSID4024729,C9H9N3O2,191.19,1.364,1.1695E-08,0.000907821,4.46684,1.40402E-09,8.41489,223.839,1.51897,7.58902E-10,7.99406E-05
DTXSID7041756,C12H16N2O3,236.271,1.153,4.88652E-08,0.00120504,3.54387,3.13048E-10,9.04918,229.071,1.29522,3.5599E-07,0.0144914
DTXSID9020249,C12H15NO3,221.256,1.115,3.40408E-06,0.00188365,4.47288,2.74505E-09,9.03678,56.3325,1.97375,4.85143E-06,0.00174481
DTXSID5027273,CO,28.01,0.861,1221.8,9.57194,21.1858,0.000189663,0.437106,25.7127,0.187699,7085.03,2.13009
DTXSID8020250,CCl4,153.81,1.601,104.954,0.00668344,19.8666,0.0275951,2.78329,70.7792,2.82938,114.402,0.00507698
DTXSID7022120,C11H16ClO2PS3,342.85,1.37,1.62555E-06,2.43781E-06,203.483,8.78001E-06,11.5293,45529.8,5.33012,3.00552E-07,1.82668E-06
DTXSID5023950,C20H32N2O3S,380.55,1.206,3.31131E-07,8.77001E-06,13.3567,9.16639E-08,10.0974,1141,4.82919,3.07342E-07,5.69361E-07
DTXSID0023951,C12H13NO2S,235.3,1.254,1.06905E-07,0.000304789,3.165,3.05944E-08,10.6391,256.564,2.14048,1.50023E-07,0.000698
DTXSID10869766,C13H10Cl2F3N3O3,384.14,1.716,2.17771E-09,0.000028119,3.54271,5.91825E-11,11.2015,919.299,3.35942,5.33748E-10,0.00350024
DTXSID4032532,C15H14Cl2F3N3O3,412.19,1.593,2.58226E-08,1.11944E-05,4.88739,2.23949E-09,9.6425,1193.19,3.36057,1.20344E-07,5.36586E-05
DTXSID4044165,C7H15N3O2S2,237.34,1.15,0.00025527,0.00613762,4.19016,2.17358E-10,9.12802,41.2617,0.698108,9.16521E-10,0.782908
DTXSID6058055,C13H9Cl2NO4,314.12,1.458,1.99986E-07,1.41906E-06,3.54191,1.79816E-07,8.60347,24547.4,4.65351,1.38728E-05,9.58615E-07
DTXSID4020088,C8H11Cl3O6,309.52,1.759,9.57194E-08,0.0435512,3.53944,1.50526E-10,8.32745,52.5105,1.01727,3.15862E-08,0.0144861
DTXSID2020262,C7H5Cl2NO2,206.02,1.571,1.72982E-06,0.00292415,4.08243,1.45711E-09,8.07923,30.3764,0.911652,1.20276E-08,0.00339596
DTXSID2044345,C18H14BrCl2N5O2,483.15,1.646,3.37287E-11,1.87499E-06,4.79476,5.46873E-11,9.68259,96.7159,3.59054,1.63776E-10,2.07831E-06
DTXSID1041766,C13H10Cl2S,269.18,1.31,1.89671E-05,7.12853E-06,22.3606,0.000165213,8.80428,12495.9,5.41041,0.000171456,1.70006E-06
DTXSID6040290,C9H10BrClN2O2,293.55,1.489,7.32825E-07,0.000425598,3.5214,3.5141E-10,10.3114,500.095,3.08964,4.03249E-07,0.000120275
DTXSID6041769,C11H10ClNO2,223.66,1.18,3.05492E-06,0.00057544,3.52665,1.64792E-09,9.00876,162.415,2.1257,1.57034E-05,0.00236487
DTXSID7020267,C10H6Cl8,409.76,1.855,0.000018239,2.04174E-07,210.882,0.000291713,8.99413,60162.5,6.11976,1.17341E-05,2.44808E-07
DTXSID2032344,C6H11Cl4O3PS,335.98,1.535,0.00124451,4.64515E-05,4.72753,8.32047E-06,8.95373,3971.22,4.58833,0.000795602,9.50147E-07
DTXSID9032533,C15H11BrClF3N2O,407.62,1.574,5.44503E-07,1.84077E-06,4.44792,2.58483E-06,9.74805,2633.95,4.82669,4.96848E-07,2.75845E-07
DTXSID40866763,C9H8Cl2O2,219.06,1.426,1.83231E-05,0.00124165,3.54303,2.07338E-08,8.71197,57.8908,2.63282,0.000126817,0.00607871
DTXSID5020310,C12H8Cl2O3S,303.15,1.493,3.92645E-06,2.69153E-05,4.96856,0.000305921,8.84314,1678.15,4.23322,1.55325E-05,9.81176E-06
DTXSID7034250,C12H14Cl3O4P,359.56,1.422,5.48277E-06,0.000130317,3.81656,3.32225E-09,10.6045,295.683,3.80839,7.4545E-06,0.000374367
DTXSID5041772,C20H9Cl3F5N3O3,540.65,1.782,3.35738E-11,6.0256E-09,3.5461,1.80071E-12,9.65987,143842,5.7994,3.57884E-11,2.94982E-08
DTXSID3034872,C10H8ClN3O,221.64,1.53,2.5527E-07,0.000860994,3.33873,6.42504E-10,8.49864,120.215,1.1718,4.51484E-07,0.00158841
DTXSID20244020,C13H11ClN4O6S,386.76,1.645,8.22243E-13,0.000365595,4.48058,7.22195E-11,9.36385,51.3846,1.42202,2.49122E-09,5.66494E-05
DTXSID0023955,C15H15ClN4O6S,414.82,1.563,1.97242E-11,0.000204644,4.27962,5.57341E-11,9.58135,109.606,2.49725,3.78229E-11,0.0028595
DTXSID1037511,C5H12ClO2PS2,234.69,1.272,0.000453942,0.00196789,74.3566,2.53192E-07,7.37655,344.761,3.08465,0.000669338,0.00025764
DTXSID0041775,C12H6Cl3NO3,318.53,1.545,1.1885E-07,1.01859E-06,3.71956,0.000068148,8.63272,7977.67,4.97007,1.06738E-06,2.3953E-06
DTXSID4020901,C2H3ClO2,94.49,1.352,0.345939,2.1727,7.12262,9.31406E-09,4.05802,4.56291,0.220273,0.0667299,8.66995
DTXSID4020298,C6H5Cl,112.56,1.123,6.76083,0.00732825,5.04119,0.00310295,3.38629,141.471,2.86481,11.9517,0.00429539
DTXSID9020299,C16H14Cl2O3,325.19,1.351,3.28852E-07,2.50611E-05,4.6243,4.84686E-10,10.7036,1988.08,4.73733,2.17364E-06,3.51334E-05
DTXSID6020301,CHClF2,86.47,1.3,3273.41,0.159221,7.58064,0.0406205,0.555295,40.8463,1.07955,7210.55,0.0320479
DTXSID6020305,CH2ClF,68.48,1.317,1291.22,0.140281,7.58068,0.0079131,1.38494,37.8267,0.512479,2442.01,0.150501
DTXSID1020306,CHCl3,119.37,1.425,183.231,0.038815,27.1759,0.0036506,2.74583,39.8833,1.97024,198.028,0.0666577
DTXSID2024793,C8H8Cl2O2,207.05,1.309,0.00130617,0.000242661,3.53264,9.05433E-05,5.72763,1258.61,3.15959,0.00301836,3.92705E-05
DTXSID2032348,C23H15ClO3,374.82,1.422,9.77237E-09,1.66725E-05,27.2492,2.09459E-08,11.6905,1566.63,4.06372,7.48799E-10,9.50438E-05
DTXSID0020315,CCl3NO2,164.37,1.61,7.94328,0.0323594,4.62777,0.00206106,3.07711,61.6589,2.08833,24.0246,0.0180425
DTXSID5041778,C17H16Cl2O3,339.21,1.306,2.52348E-07,0.00002208,4.90074,4.71493E-10,10.969,941.593,4.87378,1.81298E-07,2.95395E-05
DTXSID0020319,C8Cl4N2,265.9,1.62,0.000218776,2.29087E-05,4.67662,2.00832E-06,8.49259,1820.27,2.97569,5.72958E-07,2.4103E-06
DTXSID8052853,C10H13ClN2O,212.68,1.229,1.91867E-06,0.000306196,4.47625,1.60802E-09,9.80842,104.646,2.40831,3.64285E-08,0.000337808
DTXSID7040287,C15H15ClN2O2,290.75,1.249,2.46604E-09,2.09894E-06,4.89984,2.57244E-10,10.6602,3544.78,3.69794,3.94704E-09,0.000012845
DTXSID7020764,C10H12ClNO2,213.66,1.24,1.77828E-05,0.000419759,3.54249,4.39706E-09,9.02424,395.843,3.50695,0.000179366,0.000436028
DTXSID4020458,C9H11Cl3NO3PS,350.57,1.486,3.08319E-05,2.36048E-06,4.74463,2.91816E-06,10.5681,5000.97,4.95863,2.03147E-05,3.29321E-06
DTXSID1038666,C9H11Cl3NO4P,334.51,1.477,5.39511E-06,0.000210378,4.13837,3.73562E-07,9.46095,688.667,3.19947,0.000012805,0.000226021
