INPUT,MOLECULAR_FORMULA,AVERAGE_MASS,DENSITY_G/CM^3_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
DTXSID1032303,C16H30O,238.415,0.824,8.33681E-05,1.48936E-05,5.54561,9.94588E-06,8.41234,2135.19,6.72812,0.00560862,1.22229E-06
DTXSID6035730,C18H34O2,282.468,0.856,4.58142E-05,2.18273E-05,5.72306,3.0679E-07,8.86918,2307.93,6.99692,1.25344E-05,6.03099E-07
DTXSID2035774,C18H34O,266.469,0.829,2.26986E-05,3.96278E-06,5.55438,4.34304E-07,8.86366,2676.25,7.30622,1.13712E-05,2.59949E-07
DTXSID6022137,C6H12O,100.161,0.881,1.66341,0.0835603,4.51536,7.69531E-06,4.64902,18.2146,1.19711,1.36779,0.257707
DTXSID9035543,C14H26O2,226.36,0.873,0.00153462,0.000357273,5.71113,7.7354E-06,7.25482,1940.76,5.38944,0.00272623,1.09222E-05
DTXSID5041194,C16H30O,238.415,0.837,8.35603E-05,1.48936E-05,5.02524,9.96938E-06,8.41234,2145.22,6.72771,0.0056128,1.22181E-06
DTXSID8026933,C18H37N,267.501,0.8,1.67494E-05,6.09537E-07,6.08761,1.75938E-05,10.6374,2699.8,7.62035,6.49252E-05,7.15385E-07
DTXSID1032305,C3H4Cl2,110.97,1.202,41.9759,0.0230675,5.37147,0.0023686,3.10178,46.2635,2.03987,31.1066,0.0179152
DTXSID6035524,C14H26O2,226.36,0.873,0.00178649,0.000368129,5.71218,7.56806E-06,7.25482,1938.73,5.38939,0.00273169,4.05729E-06
DTXSID0041191,C16H32O,240.431,0.834,1.49624E-05,1.43219E-06,5.36764,1.42934E-05,9.74636,2093.98,6.57819,2.27513E-05,3.6602E-07
DTXSID3035266,C16H30O2,254.414,0.865,0.000260615,3.08319E-05,5.71817,7.30047E-07,8.41366,1807.45,6.3775,0.000107956,8.44943E-06
DTXSID30183153,C11H13N3OS,235.31,1.326,1.42233E-08,7.24436E-05,4.28941,1.94647E-10,9.19194,330.549,2.11108,2.7881E-08,0.00013586
DTXSID10869847,C12H10Cl2N2O4,317.12,1.536,2.65461E-09,0.000183231,4.53097,1.51947E-11,8.40602,761.867,1.29937,2.16988E-10,0.00375049
DTXSID1041213,C9H20O3,176.256,0.943,0.0240436,0.476431,3.8148,4.59356E-09,7.55209,53.1104,1.12728,0.0600636,0.690026
DTXSID6041214,C25H48N2O3,424.67,0.994,1.55239E-10,6.62216E-05,13.3544,6.939E-08,10.363,14363.1,5.64495,3.7945E-08,9.64928E-05
DTXSID9020372,C14H10Cl4,320.03,1.365,5.08159E-06,3.84592E-07,11.367,1.58287E-05,10.0191,74264,6.76953,1.93243E-06,3.08629E-07
DTXSID9025378,C22H44N2O,352.607,0.93,7.24436E-09,7.74462E-05,8.47892,6.00978E-08,10.623,14352.1,5.51213,0.000000217,7.17739E-05
DTXSID2041383,C7H14ClNO3Si,223.73,1.173,0.0599791,0.00824138,10.6138,4.39122E-07,5.86714,111.969,0.75053,0.18235,0.0330531
DTXSID9026689,C14H32N2O4,292.42,1.029,2.40991E-07,0.168267,5.71423,1.39286E-10,9.38046,172.924,0.255683,1.934E-09,3.41039
DTXSID1021324,C2H2F4,102.032,1.261,3435.58,0.043451,7.57442,0.0499884,0.0363783,40.0016,0.8297,4948.47,0.00119611
DTXSID6051807,C15H38O2Si3,334.722,0.823,0.0124165,1.76604E-08,453.799,4.78426,6.90401,9164.73,5.9771,1.27221,7.80287E-07
DTXSID1041217,C4H7Cl3O,177.45,1.472,1.1298,0.0755092,6.55703,3.67421E-06,4.92076,357.548,2.03131,1.53341,0.0454831
DTXSID0021381,C2H3Cl3,133.4,1.417,158.489,0.00916221,5.94324,0.0169999,2.72292,88.9775,2.48961,122.759,0.0101923
DTXSID7021318,C2H2Cl4,167.84,1.48,5.3827,0.0107647,18.1425,0.000368816,3.4642,79.4196,2.50469,4.66657,0.0175547
DTXSID6021377,C2Cl3F3,187.37,1.534,187.068,0.00129718,4.70239,0.151292,2.8187,72.7248,3.15758,363.774,0.000913376
DTXSID8029317,C10H20O,156.269,0.821,0.0701455,0.00719449,3.54288,2.50465E-05,6.24209,183.815,3.05855,0.0920811,0.00185762
DTXSID1025857,C12H8N2,180.21,1.242,3.57273E-05,0.000432514,15.5844,9.69535E-05,7.38303,4084.89,1.78611,0.000138435,0.0136571
DTXSID0024050,C2H4F2,66.051,0.998,3589.22,0.397192,7.57326,0.0203249,0.468927,19.8789,0.749271,4524.23,0.0483628
DTXSID9020376,C12Br10O,959.171,3.647,4.28549E-12,5.3827E-11,513.944,0.00160566,11.677,359623,7.73829,8.46782E-11,1.05266E-10
DTXSID6052033,C41H84N4O2,665.149,0.807,5.33335E-16,3.4914E-10,209.096,1.1187E-10,9.55414,20545.2,8.69736,2.78423E-09,1.89533E-07
DTXSID8052350,C12HCl7O,409.29,1.943,1.27057E-10,1.17761E-10,38.4526,0.00104049,11.2717,981862,7.92013,3.55995E-11,3.28857E-12
