"","ID","chemical","tissue","Type","Source","unit","Species","applicationrate"
"57","NPF4","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"58","NPF5","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"59","NPF6","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"60","NPF7","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"61","NPF8","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"62","NPF9","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"63","NPF10","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"64","NPF11","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Rana Pipiens","unknown"
"65","SCF1","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"66","SCF2","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"67","SCF3","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"68","SCF4","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"69","SCF5","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"70","CNF1","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"71","CNF2","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"72","CNF3","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"73","CNF4","X34.DCA",0.0212,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"74","CNF5","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"75","MLF1","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"76","MLF2","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"77","MLF3","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"78","MLF4","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"79","MLF5","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"80","RGF1","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"81","RGF2","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
"82","RGF3","X34.DCA",NA,"Field","Battaglin et al. 2016","ug/kg","Pseudacris triseriata","unknown"
