"","gen","prop_underpredict_mean","dt_mean","dt_sd","movement_rate_mean","movement_rate_sd","bioavail_mean","bioavail_sd","dermal_sa_slope_mean","dermal_sa_slope_sd","dermal_sa_exponent_mean","dermal_sa_exponent_sd","dermal_fraction_mean","dermal_fraction_sd","score_median"
"1",1,0.883871360759494,0.001,0.003,0.001,10,0.01,0.21,1.131,11.003,0.579,0.6112,0.1,0.5,NA
"2",2,0.862789715189873,0.00184464132169462,0.000560973158384076,5.1378,5.1378,0.14580521259903,0.0415799161135793,6.02459401232664,2.87258209456827,0.595239254844343,0.00933820307494657,0.349910896770647,0.0979676449327451,2924.49966446042
"3",3,0.845673364978903,0.0016924676554384,0.000399072523467961,5.34080000037395,5.34080000037395,0.157375404748075,0.0276189962402441,6.04444459535663,2.3302438284686,0.595638810499693,0.00760330960262786,0.377145863901984,0.067654928546988,2707.09366651561
"4",4,0.828009124472574,0.00153705695836734,0.000288653838008722,5.42320000906686,5.42320000906686,0.166793076456161,0.0218279490049032,6.05076425222012,2.09087462844667,0.595809321881623,0.00685590243766005,0.395592429459168,0.052893502745437,2564.61999844944
"5",5,0.810236708860759,0.00141240908787729,0.000209141368311256,5.65320004172107,5.65320004172107,0.173467664049237,0.0178280529814766,6.05980894326548,1.96053970060698,0.596105144550296,0.00633044837486236,0.411742368222946,0.0428625513300735,2456.00673450775
"6",6,0.794754061181435,0.0013179241072895,0.000152975579925478,5.95480003760215,5.95480003760215,0.178467721446337,0.0148711305685064,6.06605228693857,1.90702630070528,0.59635718553051,0.00608107630021262,0.425440089664377,0.0356740916571658,2379.77280047862
"7",7,0.783346255274262,0.00124985725342677,0.000116306116174929,6.25800000680928,6.25800000680928,0.183094459934255,0.0123800451546704,6.0768151083237,1.84742126054883,0.596595552000952,0.0059199878269342,0.436855843165434,0.0300645189076706,2317.20595908163
"8",8,0.775374525316456,0.00119748992318081,9.0507872025405e-05,6.52480000125275,6.52480000125275,0.187318176622263,0.0104125662676635,6.01134132649366,1.79077178930873,0.596890591382474,0.00569716914063086,0.445940008525082,0.0251922487716003,2269.18923796167
"9",9,0.770444514767933,0.00115842306267019,7.38471604505967e-05,6.85520000567452,6.85520000567452,0.190605757987258,0.00901329181656586,6.03628666043947,1.70307218484049,0.597390117830918,0.00543814729549704,0.453515099532963,0.0214137113272742,2231.16543345607
"10",10,0.766777267932489,0.00112722302757977,5.81167622738993e-05,7.28960000501837,7.28960000501837,0.193311750170106,0.00760495185631708,6.01333005824321,1.69273228892438,0.597826904774585,0.00531467293058352,0.4606562052706,0.0183082425969794,2197.86729292973
"11",11,0.763748312236287,0.00110099895107619,4.55457042435633e-05,7.6340000045757,7.6340000045757,0.195712277350755,0.00650513669134334,6.02800892169779,1.6686989444408,0.598275951031725,0.00523216988545393,0.466617850743668,0.0151862136774211,2171.51404192027
"12",12,0.761117352320675,0.00108092543416111,3.68655118547828e-05,8.12200000404252,8.12200000404252,0.197763780716094,0.00545890875361205,6.02856553761875,1.69204402008963,0.598801920149692,0.00501119119051439,0.471408814726798,0.0126008031176138,2149.19655392257
"13",13,0.758948364978903,0.00106615220318984,2.99486654330809e-05,8.76800000346859,8.76800000346859,0.199524846509052,0.00477734735581201,5.98955237885191,1.65543929436632,0.599633572815543,0.00481307758957511,0.475407496870336,0.0106801496350848,2130.7467190536
"14",14,0.757022310126582,0.00105448811064418,2.44370560618782e-05,9.42120007510971,9.42120007510971,0.201096983870083,0.00402735725962648,5.99207611094954,1.6245585054971,0.600415772165699,0.00456834108548521,0.478990364184695,0.00930286958621209,2115.14529780398
"15",15,0.754941824894515,0.00104462560900044,2.0045351678123e-05,10.1132000130356,10.1132000130356,0.202385826184465,0.00348046332690676,6.00169107119969,1.60100990716799,0.601315947011929,0.00425255567174669,0.481935068674568,0.00809704047032499,2101.9185932733
"16",NA,NA,0.00103712197305558,1.64642765672831e-05,10.874,10.874,0.203488414572205,0.00293584233311539,6.01071798591474,1.61308085729547,0.602151552898077,0.00392103569244091,0.484631204340999,0.00689041902672749,2090.79451881585
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
