Sample Name,Collection Date/Time,Extraction Date,Species,Location,Site,Proximity,SVL (mm),Initial Weight (g),Extracted Weight (g),Concentrated (mL),Sex,Instrument,GC-MS,GCxGC-TOF,GC-qTOF,Pesticides,Comments
OS 6- HC 11,5/14/13 pm,5/31/2013,Hyla cinerea,JJERC,OS 6,Ag field,48,6.0485,6.0485,8,,LC/MS triple,,,,,
OS 6- HC 12,5/14/13 pm,5/31/2013,Hyla cinerea,JJERC,OS 6,Ag field,43,5.9964,5.9964,8,,LC/MS triple,,,,,
OS 6- HC 13,5/14/13 pm,5/31/2013,Hyla cinerea,JJERC,OS 6,Ag field,48,7.6028,7.6028,8,,LC/MS triple,,,,,
OS 6- Tadpoles 1,5/15/13 am,6/6/2013,Hyla gratiosa,JJERC,OS 6,Ag field,-,5.2164,5.2164,8,,LC/MS triple,,,,,
OS 8- BF 1,6/11/13 pm,6/17/2013,Bufo fowlers,JJERC,OS 8,Ag field,60,22.6945,9.8205,8,,,,,,,
OS 8- BF 2,6/11/13 pm,6/17/2013,Bufo fowlers,JJERC,OS 8,Ag field,57,22.0968,10.0924,8,,,,,,,
OS 8- BF 3,6/11/13 pm,6/17/2013,Bufo fowlers,JJERC,OS 8,Ag field,47,13.7539,9.9329,8,,,,,,,
OS 8- BF 4,6/11/13 pm,6/17/2013,Bufo fowlers,JJERC,OS 8,Ag field,52,15.405,10.2927,8,,,,,,,
OS 8- BF 5,6/11/13 pm,6/17/2013,Bufo fowlers,JJERC,OS 8,Ag field,62,35.8501,9.4241,8,GF,,,,,,
OS 8- BF 6,6/11/13 pm,6/17/2013,Bufo fowlers,JJERC,OS 8,Ag field,47,17.1082,9.6689,8,,,,,,,
OS 8- BF 7,6/11/13 pm,6/17/2013,Bufo fowlers,JJERC,OS 8,Ag field,53,20.3953,10.4096,8,,,,,,,
OS 8- BF 8,6/11/13 pm,6/17/2013,Bufo fowlers,JJERC,OS 8,Ag field,62,30.8572,10.0904,8,,,,,,,
OS 8- Bt 1,5/15/13 pm,5/28/2013,Bufo terrestris,JJERC,OS 8,Ag field,42,6.9551,6.9551,8,,LC/MS triple,,,,,
OS 8- HC 1,5/15/13 pm,5/28/2013,Hyla cinerea,JJERC,OS 8,Ag field,45,6.1981,6.1981,8,,LC/MS triple,,,,,
OS 8- HC 2,5/15/13 pm,5/28/2013,Hyla cinerea,JJERC,OS 8,Ag field,46,6.1347,6.1347,8,,LC/MS triple,,,,,
OS 8- HC 3,5/15/13 pm,5/28/2013,Hyla cinerea,JJERC,OS 8,Ag field,46,5.4319,5.4319,8,,LC/MS triple,,,,,
OS 8- HC 4,5/15/13 pm,5/28/2013,Hyla cinerea,JJERC,OS 8,Ag field,47,6.3952,6.3952,8,,LC/MS triple,,,,,
OS 8- HC 5,5/15/13 pm,5/28/2013,Hyla cinerea,JJERC,OS 8,Ag field,37,3.3063,3.3063,8,,LC/MS triple,,,,,
OS 8- HC 6,5/15/13 pm,5/28/2013,Hyla cinerea,JJERC,OS 8,Ag field,50,8.4726,8.4726,8,,LC/MS triple,,,,,
OS 8- LF 1,5/15/13 pm,5/28/2013,Rana sphenocephala,JJERC,OS 8,Ag field,51,12.9726,5.5441,8,,LC/MS triple,,,,,
,,,,,,,,,,,,,,,,,
